name	arch	scale	seed	depth	d_model	vocab	ctx	est_params	num_iter_est
genome-gpt2-S-s0	gpt2	S	0	9	576	10	1024	35872128	821
genome-gpt2-S-s1	gpt2	S	1	9	576	10	1024	35872128	821
genome-gpt2-S-s2	gpt2	S	2	9	576	10	1024	35872128	821
genome-gpt2-M-s0	gpt2	M	0	14	896	10	1024	134953728	3088
genome-gpt2-M-s1	gpt2	M	1	14	896	10	1024	134953728	3088
genome-gpt2-M-s2	gpt2	M	2	14	896	10	1024	134953728	3088
genome-mamba-S-s0	mamba	S	0	11	704	10	1024	34583296	791
genome-mamba-S-s1	mamba	S	1	11	704	10	1024	34583296	791
genome-mamba-S-s2	mamba	S	2	11	704	10	1024	34583296	791
genome-mamba-M-s0	mamba	M	0	18	1152	10	1024	150649344	3448
genome-mamba-M-s1	mamba	M	1	18	1152	10	1024	150649344	3448
genome-mamba-M-s2	mamba	M	2	18	1152	10	1024	150649344	3448
