name	arch	scale	seed	depth	d_model	n_heads	est_params	num_iter_est	config
nanoprot-gpt2-XS-s0	gpt2	XS	0	6	384	6	10680192	244	configs/release/nanoprot-gpt2-XS-s0.yaml
nanoprot-gpt2-XS-s1	gpt2	XS	1	6	384	6	10680192	244	configs/release/nanoprot-gpt2-XS-s1.yaml
nanoprot-gpt2-XS-s2	gpt2	XS	2	6	384	6	10680192	244	configs/release/nanoprot-gpt2-XS-s2.yaml
nanoprot-gpt2-S-s0	gpt2	S	0	9	576	9	35964864	823	configs/release/nanoprot-gpt2-S-s0.yaml
nanoprot-gpt2-S-s1	gpt2	S	1	9	576	9	35964864	823	configs/release/nanoprot-gpt2-S-s1.yaml
nanoprot-gpt2-S-s2	gpt2	S	2	9	576	9	35964864	823	configs/release/nanoprot-gpt2-S-s2.yaml
nanoprot-gpt2-M-s0	gpt2	M	0	14	896	14	135139200	3093	configs/release/nanoprot-gpt2-M-s0.yaml
nanoprot-gpt2-M-s1	gpt2	M	1	14	896	14	135139200	3093	configs/release/nanoprot-gpt2-M-s1.yaml
nanoprot-gpt2-M-s2	gpt2	M	2	14	896	14	135139200	3093	configs/release/nanoprot-gpt2-M-s2.yaml
nanoprot-gpt2-L-s0	gpt2	L	0	23	1472	23	598712448	13703	configs/release/nanoprot-gpt2-L-s0.yaml
nanoprot-gpt2-L-s1	gpt2	L	1	23	1472	23	598712448	13703	configs/release/nanoprot-gpt2-L-s1.yaml
nanoprot-gpt2-L-s2	gpt2	L	2	23	1472	23	598712448	13703	configs/release/nanoprot-gpt2-L-s2.yaml
nanoprot-esm2-XS-s0	esm2	XS	0	6	320	20	7393920	169	configs/release/nanoprot-esm2-XS-s0.yaml
nanoprot-esm2-XS-s1	esm2	XS	1	6	320	20	7393920	169	configs/release/nanoprot-esm2-XS-s1.yaml
nanoprot-esm2-XS-s2	esm2	XS	2	6	320	20	7393920	169	configs/release/nanoprot-esm2-XS-s2.yaml
nanoprot-esm2-S-s0	esm2	S	0	12	480	20	33209280	760	configs/release/nanoprot-esm2-S-s0.yaml
nanoprot-esm2-S-s1	esm2	S	1	12	480	20	33209280	760	configs/release/nanoprot-esm2-S-s1.yaml
nanoprot-esm2-S-s2	esm2	S	2	12	480	20	33209280	760	configs/release/nanoprot-esm2-S-s2.yaml
nanoprot-esm2-M-s0	esm2	M	0	30	640	20	147498240	3375	configs/release/nanoprot-esm2-M-s0.yaml
nanoprot-esm2-M-s1	esm2	M	1	30	640	20	147498240	3375	configs/release/nanoprot-esm2-M-s1.yaml
nanoprot-esm2-M-s2	esm2	M	2	30	640	20	147498240	3375	configs/release/nanoprot-esm2-M-s2.yaml
nanoprot-esm2-L-s0	esm2	L	0	33	1280	20	648890880	14851	configs/release/nanoprot-esm2-L-s0.yaml
nanoprot-esm2-L-s1	esm2	L	1	33	1280	20	648890880	14851	configs/release/nanoprot-esm2-L-s1.yaml
nanoprot-esm2-L-s2	esm2	L	2	33	1280	20	648890880	14851	configs/release/nanoprot-esm2-L-s2.yaml
nanoprot-mamba-XS-s0	mamba	XS	0	7	448	1	9011072	206	configs/release/nanoprot-mamba-XS-s0.yaml
nanoprot-mamba-XS-s1	mamba	XS	1	7	448	1	9011072	206	configs/release/nanoprot-mamba-XS-s1.yaml
nanoprot-mamba-XS-s2	mamba	XS	2	7	448	1	9011072	206	configs/release/nanoprot-mamba-XS-s2.yaml
nanoprot-mamba-S-s0	mamba	S	0	11	704	1	34615680	792	configs/release/nanoprot-mamba-S-s0.yaml
nanoprot-mamba-S-s1	mamba	S	1	11	704	1	34615680	792	configs/release/nanoprot-mamba-S-s1.yaml
nanoprot-mamba-S-s2	mamba	S	2	11	704	1	34615680	792	configs/release/nanoprot-mamba-S-s2.yaml
nanoprot-mamba-M-s0	mamba	M	0	18	1152	1	150702336	3449	configs/release/nanoprot-mamba-M-s0.yaml
nanoprot-mamba-M-s1	mamba	M	1	18	1152	1	150702336	3449	configs/release/nanoprot-mamba-M-s1.yaml
nanoprot-mamba-M-s2	mamba	M	2	18	1152	1	150702336	3449	configs/release/nanoprot-mamba-M-s2.yaml
nanoprot-mamba-L-s0	mamba	L	0	29	1856	1	627925632	14372	configs/release/nanoprot-mamba-L-s0.yaml
nanoprot-mamba-L-s1	mamba	L	1	29	1856	1	627925632	14372	configs/release/nanoprot-mamba-L-s1.yaml
nanoprot-mamba-L-s2	mamba	L	2	29	1856	1	627925632	14372	configs/release/nanoprot-mamba-L-s2.yaml
