name	arch	scale	ratio	seed	est_params	data_residues	steps	save_every	n_ckpts
nanoprot-sweep-gpt2-S-r3-s0	gpt2	S	3	0	35964864	107894592	205	20	10
nanoprot-sweep-gpt2-S-r6-s0	gpt2	S	6	0	35964864	215789184	411	41	10
nanoprot-sweep-gpt2-S-r12-s0	gpt2	S	12	0	35964864	431578368	823	82	10
nanoprot-sweep-gpt2-S-r24-s0	gpt2	S	24	0	35964864	863156736	1646	164	10
nanoprot-sweep-gpt2-S-r48-s0	gpt2	S	48	0	35964864	1726313472	3292	329	10
nanoprot-sweep-gpt2-S-r96-s0	gpt2	S	96	0	35964864	3452626944	6585	658	10
nanoprot-sweep-esm2-S-r3-s0	esm2	S	3	0	33209280	99627840	190	19	10
nanoprot-sweep-esm2-S-r6-s0	esm2	S	6	0	33209280	199255680	380	38	10
nanoprot-sweep-esm2-S-r12-s0	esm2	S	12	0	33209280	398511360	760	76	10
nanoprot-sweep-esm2-S-r24-s0	esm2	S	24	0	33209280	797022720	1520	152	10
nanoprot-sweep-esm2-S-r48-s0	esm2	S	48	0	33209280	1594045440	3040	304	10
nanoprot-sweep-esm2-S-r96-s0	esm2	S	96	0	33209280	3188090880	6080	608	10
nanoprot-sweep-mamba-S-r3-s0	mamba	S	3	0	34615680	103847040	198	19	10
nanoprot-sweep-mamba-S-r6-s0	mamba	S	6	0	34615680	207694080	396	39	10
nanoprot-sweep-mamba-S-r12-s0	mamba	S	12	0	34615680	415388160	792	79	10
nanoprot-sweep-mamba-S-r24-s0	mamba	S	24	0	34615680	830776320	1584	158	10
nanoprot-sweep-mamba-S-r48-s0	mamba	S	48	0	34615680	1661552640	3169	316	10
nanoprot-sweep-mamba-S-r96-s0	mamba	S	96	0	34615680	3323105280	6338	633	10
