name	arch	scale	seed	depth	d_model	n_heads	est_params	num_iter_est	config
nanoprot-gpt2-M-s3	gpt2	M	3	14	896	14	135139200	3093	configs/trajectory_moreseeds/nanoprot-gpt2-M-s3.yaml
nanoprot-gpt2-M-s4	gpt2	M	4	14	896	14	135139200	3093	configs/trajectory_moreseeds/nanoprot-gpt2-M-s4.yaml
nanoprot-gpt2-M-s5	gpt2	M	5	14	896	14	135139200	3093	configs/trajectory_moreseeds/nanoprot-gpt2-M-s5.yaml
nanoprot-gpt2-M-s6	gpt2	M	6	14	896	14	135139200	3093	configs/trajectory_moreseeds/nanoprot-gpt2-M-s6.yaml
nanoprot-gpt2-M-s7	gpt2	M	7	14	896	14	135139200	3093	configs/trajectory_moreseeds/nanoprot-gpt2-M-s7.yaml
nanoprot-gpt2-M-s8	gpt2	M	8	14	896	14	135139200	3093	configs/trajectory_moreseeds/nanoprot-gpt2-M-s8.yaml
nanoprot-gpt2-M-s9	gpt2	M	9	14	896	14	135139200	3093	configs/trajectory_moreseeds/nanoprot-gpt2-M-s9.yaml
nanoprot-mamba-M-s3	mamba	M	3	18	1152	1	150702336	3449	configs/trajectory_moreseeds/nanoprot-mamba-M-s3.yaml
nanoprot-mamba-M-s4	mamba	M	4	18	1152	1	150702336	3449	configs/trajectory_moreseeds/nanoprot-mamba-M-s4.yaml
nanoprot-mamba-M-s5	mamba	M	5	18	1152	1	150702336	3449	configs/trajectory_moreseeds/nanoprot-mamba-M-s5.yaml
nanoprot-mamba-M-s6	mamba	M	6	18	1152	1	150702336	3449	configs/trajectory_moreseeds/nanoprot-mamba-M-s6.yaml
nanoprot-mamba-M-s7	mamba	M	7	18	1152	1	150702336	3449	configs/trajectory_moreseeds/nanoprot-mamba-M-s7.yaml
nanoprot-mamba-M-s8	mamba	M	8	18	1152	1	150702336	3449	configs/trajectory_moreseeds/nanoprot-mamba-M-s8.yaml
nanoprot-mamba-M-s9	mamba	M	9	18	1152	1	150702336	3449	configs/trajectory_moreseeds/nanoprot-mamba-M-s9.yaml
