concept,source,arch,scale,seed,t_onset,t50,t90,delta_final,auec
rsa,netsurfp,gpt2,M,0,10,456,3098,0.096647,0.216421
rsa,netsurfp,gpt2,M,1,7,456,3098,0.092711,0.221734
rsa,netsurfp,gpt2,M,2,7,456,2109,0.086562,0.217915
rsa,netsurfp,gpt2,S,0,7,229,598,0.057929,0.123859
rsa,netsurfp,gpt2,S,1,7,229,598,0.059841,0.124677
rsa,netsurfp,gpt2,S,2,7,229,598,0.058702,0.125872
rsa,netsurfp,mamba,M,0,71,228,2340,0.068831,0.182629
rsa,netsurfp,mamba,M,1,2,228,3473,0.069534,0.198089
rsa,netsurfp,mamba,M,2,71,228,3473,0.073034,0.198312
rsa,netsurfp,mamba,S,0,24,162,576,0.050433,0.106369
rsa,netsurfp,mamba,S,1,5,118,419,0.054079,0.135876
rsa,netsurfp,mamba,S,2,13,86,419,0.049340,0.137605
ss3,netsurfp,gpt2,M,0,2,212,2109,0.210334,0.798907
ss3,netsurfp,gpt2,M,1,3,5,1439,0.237136,0.963173
ss3,netsurfp,gpt2,M,2,1,67,2109,0.241605,0.836542
ss3,netsurfp,gpt2,S,0,4,4,4,0.140766,0.487074
ss3,netsurfp,gpt2,S,1,1,2,88,0.153976,0.585736
ss3,netsurfp,gpt2,S,2,1,18,598,0.196442,0.600762
ss3,netsurfp,mamba,M,0,1,155,155,0.146018,0.599369
ss3,netsurfp,mamba,M,1,1,3,336,0.157658,0.762725
ss3,netsurfp,mamba,M,2,1,71,731,0.163425,0.664808
ss3,netsurfp,mamba,S,0,1,1,118,0.120037,0.464595
ss3,netsurfp,mamba,S,1,1,62,419,0.118385,0.349173
ss3,netsurfp,mamba,S,2,1,3,222,0.103106,0.352098
ss8,netsurfp,gpt2,M,0,2,145,3098,0.147189,0.461323
ss8,netsurfp,gpt2,M,1,3,15,212,0.097720,0.505310
ss8,netsurfp,gpt2,M,2,2,99,669,0.107901,0.445715
ss8,netsurfp,gpt2,S,0,2,18,598,0.081977,0.252799
ss8,netsurfp,gpt2,S,1,2,24,315,0.102725,0.287321
ss8,netsurfp,gpt2,S,2,1,13,315,0.078085,0.237025
ss8,netsurfp,mamba,M,0,7,228,3473,0.075697,0.248485
ss8,netsurfp,mamba,M,1,1,228,3473,0.087742,0.271030
ss8,netsurfp,mamba,M,2,3,155,3473,0.081777,0.236536
ss8,netsurfp,mamba,S,0,1,1,4,0.048943,0.228215
ss8,netsurfp,mamba,S,1,1,1,118,0.066146,0.263788
ss8,netsurfp,mamba,S,2,1,3,305,0.086999,0.260915
