task,axis,sigma,omega,pi,d_early,d_final,conv_f1,p_rev,n_seed
aperiodic,off-diag,-1.9469,0.0,1.0114,-0.06436,0.0,0.88709,0.0,5
comp_R2,composition,-0.6122,0.1381,1.5929,0.04698,0.0,0.44819,0.0,5
comp_R6,composition,-1.5045,-0.008,1.572,0.02882,0.01334,0.40587,0.0,5
motif_R2,order,0.9899,0.4916,1.0067,0.27769,0.0,0.88752,0.0,5
motif_R4,order,0.9447,0.484,1.0071,0.49181,0.0,0.8879,0.0,5
order_adj,order,-0.4969,0.2412,1.0195,0.04058,-5e-05,0.59251,0.0,5
period_16,period,0.8542,0.1405,3.2532,0.25816,0.00839,0.87936,0.0,5
period_4,period,1.8959,0.1765,4.1981,0.38648,0.08568,0.84399,0.0,5
period_8,period,1.1788,0.1687,3.4315,0.35228,0.03127,0.87119,0.0,5
ratio,composition,-1.3028,0.0546,1.3744,0.0466,-0.05789,0.35545,0.0,5
