
===== PROTEIN: reversal under iso-FLOP / iso-step / iso-token (early=1%) =====
  concept/scale     n |         FLOP dE/dF/P |         STEP dE/dF/P |        TOKEN dE/dF/P |   own-conv dFmamba%@flopEnd
  active/S          3 |   +0.000/+0.020/0.00 |   +0.000/+0.002/0.00 |   +0.000/+0.002/0.00 |        +0.003          26%
  active/M          3 |   -0.000/+0.024/0.97 |   -0.002/+0.013/0.85 |   -0.002/+0.013/0.85 |        +0.009          27%
  active/L          3 |   -0.013/+0.006/0.74 |   -0.018/+0.002/0.74 |   -0.018/+0.002/0.74 |        +0.003          40%
  disorder/S        3 |   +0.022/+0.030/0.00 |   -0.003/+0.017/0.74 |   -0.003/+0.017/0.74 |        +0.018          26%
  disorder/M        3 |   +0.029/+0.019/0.00 |   +0.004/-0.010/0.00 |   +0.004/-0.010/0.00 |        -0.012          27%
  disorder/L        3 |   +0.017/+0.001/0.00 |   -0.007/-0.007/0.00 |   -0.007/-0.007/0.00 |        -0.008          40%
  ec_class/S        3 |   +0.020/+0.072/0.00 |   +0.036/-0.013/0.00 |   +0.036/-0.013/0.00 |        -0.012          26%
  ec_class/M        3 |   -0.020/+0.060/0.97 |   -0.032/-0.028/0.00 |   -0.032/-0.028/0.00 |        -0.027          27%
  ec_class/L        3 |   +0.037/+0.101/0.00 |   -0.007/+0.012/0.74 |   -0.007/+0.012/0.74 |        -0.002          40%
  fold/S            3 |   -0.040/+0.088/1.00 |   +0.019/+0.003/0.00 |   +0.019/+0.003/0.00 |        +0.003          26% <<
  fold/M            3 |   -0.051/+0.073/1.00 |   -0.033/+0.003/0.71 |   -0.033/+0.003/0.71 |        -0.001          27% <<
  fold/L            2 |   +0.014/+0.039/0.00 |   -0.105/-0.012/0.00 |   -0.105/-0.012/0.00 |        -0.015          40% <<
  pfam_family/S     3 |   -0.084/+0.146/1.00 |   +0.002/-0.018/0.00 |   +0.002/-0.018/0.00 |        -0.016          26% <<
  pfam_family/M     3 |   -0.117/+0.047/0.97 |   -0.114/+0.004/0.62 |   -0.114/+0.004/0.62 |        +0.005          27% <<
  pfam_family/L     3 |   -0.053/+0.131/1.00 |   -0.058/-0.019/0.03 |   -0.058/-0.019/0.03 |        -0.031          40% <<
  rsa/S             3 |   +0.005/+0.013/0.00 |   +0.002/+0.000/0.00 |   +0.002/+0.000/0.00 |        +0.001          26%
  rsa/M             3 |   +0.011/+0.035/0.00 |   +0.007/+0.017/0.00 |   +0.007/+0.017/0.00 |        +0.015          27%
