concept,source,arch,scale,metric,learned_mean,learned_sd,baseline_mean,baseline_sd,delta_mean,delta_sd,n_seeds
ss3,netsurfp,esm2,XS,macro_f1,0.511966,0.001963,0.480267,0.001539,0.031700,0.002230,3
ss3,netsurfp,esm2,S,macro_f1,0.665946,0.001509,0.478761,0.000311,0.187185,0.001292,3
ss3,netsurfp,esm2,M,macro_f1,0.722248,0.002145,0.473549,0.001481,0.248698,0.000684,3
ss3,netsurfp,gpt2,S,macro_f1,0.591429,0.001710,0.438570,0.006813,0.152859,0.007116,3
ss3,netsurfp,gpt2,M,macro_f1,0.630070,0.003404,0.439755,0.007081,0.190315,0.009977,3
ss3,netsurfp,gpt2,XS,macro_f1,0.542509,0.002397,0.449666,0.001346,0.092843,0.003417,3
ss3,netsurfp,mamba,XS,macro_f1,0.564569,0.000736,0.478936,0.000676,0.085632,0.000822,3
ss3,netsurfp,mamba,S,macro_f1,0.591069,0.000774,0.485585,0.005084,0.105484,0.005468,3
ss3,netsurfp,esm2,L,macro_f1,0.748522,0.003021,0.465099,0.006042,0.283423,0.003864,3
ss3,netsurfp,gpt2,L,macro_f1,0.687915,0.020301,0.425183,0.005016,0.262732,0.025317,3
ss3,netsurfp,mamba,L,macro_f1,0.673874,0.010632,0.487429,0.005909,0.186445,0.016437,3
ss3,netsurfp,mamba,M,macro_f1,0.627254,0.002813,0.494452,0.004874,0.132802,0.007687,2
ss3,swissprot,esm2,XS,macro_f1,0.441023,0.004830,0.400196,0.004071,0.040827,0.007679,3
ss3,swissprot,esm2,S,macro_f1,0.597302,0.000473,0.404505,0.001753,0.192797,0.001382,3
ss3,swissprot,esm2,M,macro_f1,0.640156,0.004055,0.422051,0.005679,0.218105,0.005153,3
ss3,swissprot,gpt2,S,macro_f1,0.543264,0.001126,0.333555,0.021252,0.209709,0.021175,3
ss3,swissprot,gpt2,M,macro_f1,0.571327,0.006055,0.368816,0.009683,0.202510,0.012671,3
ss3,swissprot,gpt2,XS,macro_f1,0.484111,0.002468,0.310596,0.000000,0.173514,0.002468,3
ss3,swissprot,mamba,XS,macro_f1,0.507607,0.005918,0.338434,0.010888,0.169173,0.012937,3
ss3,swissprot,mamba,S,macro_f1,0.545350,0.003034,0.388176,0.012976,0.157175,0.012957,3
ss3,swissprot,esm2,L,macro_f1,0.659401,0.003247,0.436538,0.005171,0.222864,0.008093,3
ss3,swissprot,gpt2,L,macro_f1,0.606430,0.009431,0.375810,0.005373,0.230621,0.013862,3
