arch,scale,seed,step,n_params,tokens,flops,lambada_acc,loss,n_eval
pythia,70m,0,512,70426624,1073741824,453720070271533056,0.0,4.96483,500
pythia,70m,0,8000,70426624,16777216000,7089376097992704000,0.186,3.80234,500
pythia,70m,0,143000,70426624,299892736000,126722597751619584000,0.204,3.72942,500
pythia,70m,0,1,70426624,2097152,886172012249088,0.0,11.02946,500
pythia,70m,0,2,70426624,4194304,1772344024498176,0.0,11.02885,500
pythia,70m,0,4,70426624,8388608,3544688048996352,0.0,11.01745,500
pythia,70m,0,8,70426624,16777216,7089376097992704,0.0,10.86886,500
pythia,70m,0,16,70426624,33554432,14178752195985408,0.0,10.40283,500
pythia,70m,0,32,70426624,67108864,28357504391970816,0.0,9.66257,500
pythia,70m,0,64,70426624,134217728,56715008783941632,0.0,8.8169,500
pythia,70m,0,128,70426624,268435456,113430017567883264,0.0,7.04296,500
pythia,70m,0,256,70426624,536870912,226860035135766528,0.0,5.74226,500
pythia,70m,0,1000,70426624,2097152000,886172012249088000,0.05,4.46551,500
pythia,70m,0,2000,70426624,4194304000,1772344024498176000,0.156,4.06697,500
pythia,70m,0,4000,70426624,8388608000,3544688048996352000,0.182,3.88007,500
pythia,70m,0,16000,70426624,33554432000,14178752195985408000,0.256,3.75363,500
pythia,70m,0,32000,70426624,67108864000,28357504391970816000,0.228,3.73698,500
pythia,70m,0,64000,70426624,134217728000,56715008783941632000,0.212,3.71371,500
pythia,160m,0,1,162322944,2097152,2042495319932928,0.0,11.07152,500
pythia,160m,0,2,162322944,4194304,4084990639865856,0.0,11.06982,500
pythia,160m,0,4,162322944,8388608,8169981279731712,0.0,10.99691,500
pythia,160m,0,8,162322944,16777216,16339962559463424,0.0,10.69008,500
pythia,160m,0,16,162322944,33554432,32679925118926848,0.0,9.9973,500
pythia,160m,0,32,162322944,67108864,65359850237853696,0.0,9.42035,500
pythia,160m,0,64,162322944,134217728,130719700475707392,0.0,8.52769,500
pythia,160m,0,128,162322944,268435456,261439400951414784,0.0,6.95067,500
pythia,160m,0,256,162322944,536870912,522878801902829568,0.0,5.77209,500
pythia,160m,0,512,162322944,1073741824,1045757603805659136,0.0,4.97269,500
pythia,160m,0,1000,162322944,2097152000,2042495319932928000,0.064,4.3622,500
pythia,160m,0,2000,162322944,4194304000,4084990639865856000,0.148,3.88003,500
pythia,160m,0,4000,162322944,8388608000,8169981279731712000,0.266,3.66212,500
pythia,160m,0,8000,162322944,16777216000,16339962559463424000,0.314,3.53684,500
pythia,160m,0,16000,162322944,33554432000,32679925118926848000,0.34,3.46384,500
pythia,160m,0,32000,162322944,67108864000,65359850237853696000,0.342,3.42987,500
pythia,160m,0,64000,162322944,134217728000,130719700475707392000,0.374,3.39458,500
pythia,160m,0,143000,162322944,299892736000,292076830750408704000,0.352,3.42189,500
