task,scale,n_seed,C_e,C_f,cross_over_frac,d_early,d_early_lo,d_early_hi,d_final,d_final_lo,d_final_hi,early_winner,final_winner,reversal,p_reversal
val_bpr,S,3,6122289731.04,204076324368.00015,0.00573,0.03821,0.02902,0.04451,0.08239,0.08052,0.08555,gpt2,gpt2,0,0.0
val_bpr,M,3,82406178912.95996,2746872630431.999,0.00111,0.07643,0.06329,0.09238,0.1795,0.17592,0.18588,gpt2,gpt2,0,0.0
ss3,S,3,6122289731.04,204076324368.00015,0.12751,-0.01786,-0.02235,-0.01102,0.02563,0.0236,0.02753,mamba,gpt2,1,1.0
ss3,M,3,82406178912.95996,2746872630431.999,0.03274,-0.00198,-0.01128,0.00729,0.03514,0.02954,0.04035,mamba,gpt2,1,0.639
ss8,S,3,6122289731.04,204076324368.00015,0.18054,-0.01014,-0.0131,-0.00525,0.01119,0.01068,0.01167,mamba,gpt2,1,1.0
ss8,M,3,82406178912.95996,2746872630431.999,0.05468,-0.00844,-0.01451,-0.00441,0.02018,0.01658,0.02399,mamba,gpt2,1,1.0
rsa,S,3,6122289731.04,204076324368.00015,0.08537,0.00274,0.00168,0.00476,0.01294,0.01257,0.01318,gpt2,gpt2,0,0.0
rsa,M,3,82406178912.95996,2746872630431.999,0.00261,0.00959,0.00715,0.01263,0.03458,0.02899,0.03861,gpt2,gpt2,0,0.0
disorder,S,3,6122289731.04,204076324368.00015,0.00729,0.02276,0.00965,0.04883,0.02983,0.01402,0.05135,gpt2,gpt2,0,0.0
disorder,M,3,82406178912.95996,2746872630431.999,0.00198,0.04722,0.03046,0.06002,0.01863,0.01661,0.02149,gpt2,gpt2,0,0.0
active,S,3,6122289731.04,204076324368.00015,0.05716,0.0,0.0,0.0,0.01987,0.00503,0.0324,mamba,gpt2,1,1.0
active,M,3,82406178912.95996,2746872630431.999,0.35852,-0.00154,-0.00197,-0.00127,0.0242,0.00367,0.04269,mamba,gpt2,1,1.0
