task,scale,n_seed,C_f,early_frac,d_early,d_early_lo,d_early_hi,cross_over_frac,d_final,d_final_lo,d_final_hi,reversal,p_reversal
val_bpr,S,3,230384834064.00037,0.01,0.44938,0.31524,0.54178,0.01503,0.19757,0.18769,0.20943,0,0.0
val_bpr,M,3,2985636531359.995,0.01,0.568,0.43044,0.71188,0.00334,0.09883,0.0967,0.10236,0,0.0
splice,S,3,230384834064.00037,0.01,0.0,0.0,0.0,,-0.00086,-0.00207,-0.0,0,0.0
splice,M,3,2985636531359.995,0.01,0.0,0.0,0.0,0.86557,0.00028,-5e-05,0.00087,0,0.0
frame,S,3,230384834064.00037,0.01,-0.02409,-0.0308,-0.01216,,-0.00489,-0.02012,0.00584,0,0.264
frame,M,3,2985636531359.995,0.01,-0.01088,-0.02389,-0.00251,0.20433,0.08296,0.06735,0.10558,1,1.0
gc,S,3,230384834064.00037,0.01,0.17412,0.16245,0.18138,0.01503,0.0073,0.00513,0.00891,0,0.0
gc,M,3,2985636531359.995,0.01,0.20331,0.19026,0.21902,0.00334,0.00504,0.0019,0.00686,0,0.0
exon,S,3,230384834064.00037,0.01,-0.01892,-0.03542,0.0136,,-0.00816,-0.01838,0.00483,0,0.0
exon,M,3,2985636531359.995,0.01,0.00488,-0.01419,0.02693,0.42055,0.00829,-0.00628,0.02529,0,0.3805
