task,scale,n_seed,C_f,early_frac,d_early,d_early_lo,d_early_hi,cross_over_frac,d_final,d_final_lo,d_final_hi,reversal,p_reversal
val_bpr,S,3,204076324368.00015,0.01,0.09702,0.08982,0.10418,0.00582,0.08239,0.08052,0.08555,0,0.0
val_bpr,M,3,2746872630431.999,0.01,0.03225,0.02516,0.03657,0.00117,0.1795,0.17592,0.18588,0,0.0
ss3,S,3,204076324368.00015,0.01,-0.01586,-0.01948,-0.01264,0.13115,0.02563,0.0236,0.02753,1,1.0
ss3,M,3,2746872630431.999,0.01,-0.03022,-0.05215,-0.00291,0.03419,0.03514,0.02954,0.04035,1,1.0
ss8,S,3,204076324368.00015,0.01,-0.01862,-0.0219,-0.01545,0.18399,0.01119,0.01068,0.01167,1,1.0
ss8,M,3,2746872630431.999,0.01,-0.02307,-0.02487,-0.01995,0.05747,0.02018,0.01658,0.02399,1,1.0
rsa,S,3,204076324368.00015,0.01,0.00521,0.00364,0.00636,0.08736,0.01294,0.01257,0.01318,0,0.0
rsa,M,3,2746872630431.999,0.01,0.01089,0.00852,0.01255,0.00278,0.03458,0.02899,0.03861,0,0.0
disorder,S,3,204076324368.00015,0.01,0.02222,0.00054,0.04363,0.00763,0.02983,0.01402,0.05135,0,0.0
disorder,M,3,2746872630431.999,0.01,0.02917,0.01504,0.04411,0.00196,0.01863,0.01661,0.02149,0,0.0
ec_class,S,2,204076324368.00015,0.01,0.01968,0.01125,0.02812,0.00817,0.10818,0.08167,0.13469,0,0.0
ec_class,M,3,2746872630431.999,0.01,-0.01952,-0.03424,-0.0037,0.0121,0.05981,-0.00057,0.09908,1,0.966
fold,S,2,204076324368.00015,0.01,-0.03494,-0.03646,-0.03342,0.02107,0.08543,0.0848,0.08605,1,1.0
fold,M,3,2746872630431.999,0.01,-0.05068,-0.08316,-0.02733,0.03135,0.07278,0.0652,0.08063,1,1.0
pfam_family,S,2,204076324368.00015,0.01,-0.0889,-0.12027,-0.05753,0.18399,0.12203,0.08476,0.15931,1,1.0
pfam_family,M,3,2746872630431.999,0.01,-0.1174,-0.14967,-0.09711,0.11486,0.04749,-0.02083,0.09436,1,0.9645
active,S,3,204076324368.00015,0.01,0.0,0.0,0.0,0.05819,0.01987,0.00503,0.0324,0,0.0
active,M,3,2746872630431.999,0.01,-0.00046,-0.00118,0.0,0.3539,0.0242,0.00367,0.04269,1,0.9655
subcellular,S,2,204076324368.00015,0.01,-0.00097,-0.01799,0.01605,0.08164,0.00107,-0.01852,0.02065,1,0.7465
subcellular,M,3,2746872630431.999,0.01,0.00355,-0.03451,0.03117,0.70734,0.01425,-0.02152,0.03477,0,0.253
