property,source,level,Pi,period,Omega,F1_ord,F1_bag,n
ss3,netsurfp,residue,2.56684,7.0,0.07277,0.54634,0.47357,6017
ss8,netsurfp,residue,2.0525,7.0,0.0325,0.21799,0.18549,6023
rsa,netsurfp,residue,1.36848,3.5,0.01077,0.44105,0.43028,6023
disorder,swissprot,residue,2.54452,7.0,0.02752,0.56815,0.54063,6057
active,swissprot,residue,1.58501,7.0,0.0,0.49412,0.49412,6022
subcellular,swissprot,sequence,1.0,,0.02964,0.34452,0.31488,6000
ec_class,swissprot,sequence,1.0,,0.16451,0.46142,0.2969,6000
fold,cath,sequence,1.0,,0.00423,0.09774,0.09351,6000
pfam_family,swissprot,sequence,1.0,,0.28251,0.86407,0.58156,6000
frame,gencode,residue,7.99998,3.0,0.0371,0.42268,0.38558,6015
gc,gencode,residue,2.27689,7.0,0.03045,0.49031,0.45986,6000
splice,gencode,residue,2.29184,7.0,0.0,0.33076,0.33076,6000
exon,gencode,residue,2.52871,7.0,0.0,0.46198,0.46198,6000
