arch,scale,ratio,seed,N,D,C,bpr
gpt2,S,48,0,36090440.0,1732341120.0,4.2800218925078016e+17,3.6746873456390263
esm2,M,12,0,147616000.0,1771392000.0,1.77661151281152e+18,3.4006806091855983
mamba,S,12,0,35024000.0,420288000.0,4.07473156620288e+17,3.911981827023856
mamba,M,24,0,151749504.0,3641988096.0,1.0722467940912857e+19,3.9075509519983522
esm2,XS,96,0,7422080.0,712519680.0,4.00123691532288e+16,3.6107312973494192
mamba,XS,12,0,9186688.0,110240256.0,3.996961030353715e+16,3.982603578895604
mamba,XS,48,0,9186688.0,440961024.0,1.598784412141486e+17,3.925812284845279
esm2,XS,6,0,7422080.0,44532480.0,2500773072076800.0,3.7531863758725805
mamba,S,24,0,35024000.0,840576000.0,8.14946313240576e+17,3.7529618525218793
esm2,S,12,0,33263040.0,399156480.0,9.36578210070528e+16,3.6530201973614007
gpt2,S,24,0,36090440.0,866170560.0,2.1400109462539008e+17,3.747620673325358
gpt2,S,96,0,36090440.0,3464682240.0,8.560043785015603e+17,3.795554688873598
esm2,XS,24,0,7422080.0,178129920.0,1.00030922883072e+16,3.704251292309331
esm2,M,6,0,147616000.0,885696000.0,8.8830575640576e+17,3.4885295622246346
mamba,S,48,0,35024000.0,1681152000.0,1.629892626481152e+18,3.730486471776524
esm2,S,96,0,33263040.0,3193251840.0,7.492625680564224e+17,3.3358970448735334
gpt2,M,3,0,135390414.0,406171242.0,3.601357869329801e+17,3.868667093495141
esm2,S,48,0,33263040.0,1596625920.0,3.746312840282112e+17,3.4161170624986092
mamba,XS,6,0,9186688.0,55120128.0,1.9984805151768576e+16,4.033511174477262
mamba,XS,96,0,9186688.0,881922048.0,3.197568824282972e+17,3.865002014218266
gpt2,M,12,0,135390414.0,1624684968.0,1.4405431477319204e+18,3.6032672073063106
esm2,S,3,0,33263040.0,99789120.0,2.34144552517632e+16,3.722656875604669
mamba,M,3,0,151749504.0,455248512.0,1.3403084926141071e+18,3.8704736637532977
gpt2,S,6,0,36090440.0,216542640.0,5.350027365634752e+16,3.9254624291377613
mamba,S,96,0,35024000.0,3362304000.0,3.259785252962304e+18,3.7651227027687257
esm2,XS,12,0,7422080.0,89064960.0,5001546144153600.0,3.7748203314985895
esm2,S,24,0,33263040.0,798312960.0,1.873156420141056e+17,3.520426475051725
gpt2,S,12,0,36090440.0,433085280.0,1.0700054731269504e+17,3.8773574198389014
gpt2,XS,48,0,10739966.0,515518368.0,4.021327836539136e+16,3.953803966121396
gpt2,S,3,0,36090440.0,108271320.0,2.675013682817376e+16,4.005568637243628
mamba,S,3,0,35024000.0,105072000.0,1.01868289155072e+17,3.992512144346751
esm2,XS,48,0,7422080.0,356259840.0,2.00061845766144e+16,3.663061490423351
esm2,S,6,0,33263040.0,199578240.0,4.68289105035264e+16,3.6913260221750623
mamba,XS,24,0,9186688.0,220480512.0,7.99392206070743e+16,3.9656816899292595
gpt2,M,6,0,135390414.0,812342484.0,7.202715738659602e+17,3.664085690104902
gpt2,M,24,0,135390414.0,3249369936.0,2.881086295463841e+18,3.6351535646982045
gpt2,XS,12,0,10739966.0,128879592.0,1.005331959134784e+16,3.98754713420333
mamba,M,12,0,151749504.0,1820994048.0,5.361233970456429e+18,3.7229238356744707
mamba,S,6,0,35024000.0,210144000.0,2.03736578310144e+17,4.123544737138882
gpt2,XS,96,0,10739966.0,1031036736.0,8.042655673078272e+16,3.779036013232201
gpt2,XS,24,0,10739966.0,257759184.0,2.010663918269568e+16,3.8642013489871743
mamba,M,6,0,151749504.0,910497024.0,2.6806169852282143e+18,3.703002010333464
esm2,M,3,0,147616000.0,442848000.0,4.4415287820288e+17,3.619731041979913
esm2,M,24,0,147616000.0,3542784000.0,3.55322302562304e+18,3.5219447163957103
gpt2,XS,6,0,10739966.0,64439796.0,5026659795673920.0,4.0632696765213545
